"modelo","control_level","tratamiento_level","symmetric","n_control","n_tratamiento","mean","sd","median","q025","q975","n_draws"
"lognor_v1_sum0coef_revisado","1","2",TRUE,3,3,127.055885579054,61.5561752297327,114.037014054638,46.7043587261139,282.076610671012,16000
"lognor_v1_dia_sum0coef_revisado","1","2",TRUE,3,3,222.953803660897,112.529507975103,200.415125549515,73.5982605614904,500.615292291346,16000
"lognor_v1_sum0coef_delta_comun_revisado","1","2",TRUE,3,3,59.0675556127186,15.3068750181839,57.7979571747028,33.1686062868107,92.6831223747013,16000
"lognor_v1_dia_sum0coef_delta_comun_revisado","1","2",TRUE,3,3,101.120100099489,45.977728835688,88.5810344818348,45.8715044376702,226.48191010379,16000
