"modelo","control_level","tratamiento_level","symmetric","n_control","n_tratamiento","mean","sd","median","q025","q975","n_draws"
"kappa_comun","1","2",TRUE,3,3,110.27840167309,25.9427599021706,107.91396743644,66.5622396867397,167.845365079664,16000
"kappa_comun_dia","1","2",TRUE,3,3,1520.54408259687,325.186974715911,1502.14833081309,943.968039367353,2209.98389072769,16000
"kappa_cond","1","2",TRUE,3,3,116.057890907107,24.6070398348131,114.265927056621,73.0721444565384,169.425924182182,16000
"kappa_cond_dia","1","2",TRUE,3,3,1546.94514044984,585.975099776223,1451.43304681896,855.860758622435,2768.08576567894,16000
