"modelo","control_level","tratamiento_level","symmetric","n_control","n_tratamiento","mean","sd","median","q025","q975","n_draws"
"phi_comun","1","2",TRUE,3,3,86.8355233382205,21.2320552511355,84.8604887712363,51.6113098003381,133.789359969393,16000
"phi_cond","1","2",TRUE,3,3,94.330542082027,22.0164519578035,92.547445065281,56.2604975384207,142.099540830546,16000
"phi_comun_dia","1","2",TRUE,3,3,1179.64671414803,293.724752369846,1155.31355062364,680.150411379628,1819.06472930795,16000
"phi_cond_dia","1","2",TRUE,3,3,1406.84350917486,481.671458392471,1324.76561955451,737.592189613262,2578.26802440394,16000
